LanguageSkid,ChorusSkid,SentenceSequenceNbr,SentenceSkid
1,1,1,124
1,1,2,125
1,1,3,126
1,1,4,125
1,2,1,124
1,2,2,125
1,2,3,126
1,2,4,125
1,3,1,124
1,3,2,125
1,3,3,126
1,3,4,125
1,4,1,124
1,4,2,125
1,4,3,126
1,4,4,125
1,5,1,305
1,5,2,306
1,5,3,307
1,5,4,303
1,6,1,305
1,6,2,306
1,6,3,307
1,6,4,303
1,7,1,305
1,7,2,306
1,7,3,307
1,7,4,303
1,8,1,305
1,8,2,306
1,8,3,307
1,8,4,303
1,12,1,650
1,12,2,651
1,13,1,650
1,13,2,651
1,14,1,650
1,14,2,651
1,15,1,650
1,15,2,651
1,17,1,776
1,17,2,777
1,18,1,776
1,18,2,777
1,19,1,776
1,19,2,777
1,20,1,776
1,20,2,777
1,21,1,1122
1,21,2,1123
1,22,1,1122
1,22,2,1123
1,23,1,1122
1,23,2,1123
1,28,1,1155
1,28,2,1156
1,29,1,1155
1,29,2,1156
1,30,1,1155
1,30,2,1156
1,31,1,1155
1,31,2,1156
1,35,1,1348
1,35,2,1349
1,35,3,1350
1,35,4,1351
1,36,1,1348
1,36,2,1349
1,36,3,1350
1,36,4,1351
1,37,1,1348
1,37,2,1349
1,37,3,1350
1,37,4,1351
1,38,1,1348
1,38,2,1349
1,38,3,1350
1,38,4,1351
1,39,1,1348
1,39,2,1349
1,39,3,1350
1,39,4,1351
1,44,1,1509
1,44,2,1510
1,45,1,1509
1,45,2,1510
1,46,1,1509
1,46,2,1510
1,51,1,1685
1,51,2,1686
1,52,1,1685
1,52,2,1686
1,53,1,1685
1,53,2,1686
1,54,1,1685
1,54,2,1686
1,55,1,1685
1,55,2,1686
1,56,1,1685
1,56,2,1686
1,57,1,1715
1,57,2,1716
1,57,3,1717
1,57,4,1718
1,58,1,1715
1,58,2,1716
1,58,3,1717
1,58,4,1718
1,59,1,1715
1,59,2,1716
1,59,3,1717
1,59,4,1718
1,60,1,1715
1,60,2,1716
1,60,3,1717
1,60,4,1718
1,61,1,1777
1,61,2,1778
1,62,1,1777
1,62,2,1778
1,63,1,1777
1,63,2,1778
1,64,1,1777
1,64,2,1778
1,65,1,1799
1,65,2,1800
1,65,3,1801
1,65,4,1802
1,66,1,1799
1,66,2,1800
1,66,3,1801
1,66,4,1802
1,67,1,1799
1,67,2,1800
1,67,3,1801
1,67,4,1802
