"nguageSkid","SongSkid","StanzaSequenceNbr","SentenceSequenceNbr","SentenceSkid"
"1","1","1","1","1"
"1","1","1","2","2"
"1","1","1","3","3"
"1","1","1","4","4"
"1","1","1","5","5"
"1","1","1","6","6"
"1","1","1","7","7"
"1","1","1","8","8"
"1","1","1","9","8"
"1","2","1","1","17"
"1","2","1","2","18"
"1","2","1","3","19"
"1","2","1","4","20"
"1","2","2","1","21"
"1","2","2","2","22"
"1","2","2","3","23"
"1","2","2","4","24"
"1","2","3","1","25"
"1","2","3","2","26"
"1","2","3","3","27"
"1","2","3","4","28"
"1","2","4","1","17"
"1","2","4","2","29"
"1","2","4","3","30"
"1","2","4","4","20"
"1","3","1","1","46"
"1","3","1","2","47"
"1","3","1","3","48"
"1","3","1","4","49"
"1","4","1","1","54"
"1","4","1","2","55"
"1","4","1","3","56"
"1","4","1","4","57"
"1","4","1","5","58"
"1","4","1","6","59"
"1","4","1","7","60"
"1","4","1","8","61"
"1","4","1","9","62"
"1","4","1","10","63"
"1","4","1","11","64"
"1","4","1","12","65"
"1","4","1","13","66"
"1","4","1","14","67"
"1","4","1","15","64"
"1","4","1","16","65"
"1","4","1","17","66"
"1","4","1","18","67"
"1","5","1","1","82"
"1","5","1","2","83"
"1","5","1","3","84"
"1","5","1","4","85"
"1","5","2","1","86"
"1","5","2","2","87"
"1","5","2","3","88"
"1","5","2","4","89"
"1","5","3","1","90"
"1","5","3","2","91"
"1","5","3","3","92"
"1","5","3","4","93"
"1","5","4","1","94"
"1","5","4","2","95"
"1","5","4","3","96"
"1","5","4","4","97"
"1","6","1","1","24525"
"1","6","1","2","24525"
"1","6","1","3","24526"
"1","6","1","4","24527"
"1","6","1","5","24525"
"1","7","1","1","120"
"1","7","1","2","121"
"1","7","1","3","122"
"1","7","1","4","123"
"1","7","2","1","127"
"1","7","2","2","128"
"1","7","2","3","129"
"1","7","2","4","130"
"1","7","3","1","131"
"1","7","3","2","132"
"1","7","3","3","133"
"1","7","3","4","134"
"1","7","4","1","135"
"1","7","4","2","136"
"1","7","4","3","137"
"1","7","4","4","138"
"1","8","1","1","157"
"1","8","1","2","158"
"1","8","1","3","159"
"1","8","1","4","160"
"1","8","2","1","161"
"1","8","2","2","162"
"1","8","2","3","163"
"1","8","2","4","164"
"1","8","3","1","165"
"1","8","3","2","166"
"1","8","3","3","167"
"1","8","3","4","168"
"1","8","4","1","169"
"1","8","4","2","170"
"1","8","4","3","171"
"1","8","4","4","172"
"1","9","1","1","189"
"1","9","1","2","190"
"1","9","1","3","191"
"1","9","1","4","192"
"1","9","2","1","193"
"1","9","2","2","194"
"1","9","2","3","195"
"1","9","2","4","196"
"1","9","3","1","197"
"1","9","3","2","198"
"1","9","3","3","199"
"1","9","3","4","200"
"1","9","4","1","201"
"1","9","4","2","202"
"1","9","4","3","203"
"1","9","4","4","204"
"1","10","1","1","3285"
"1","10","1","2","3286"
"1","10","1","3","3287"
"1","10","1","4","3288"
"1","10","2","1","3290"
"1","10","2","2","3291"
"1","10","2","3","3292"
"1","10","2","4","3293"
"1","10","3","1","3294"
"1","10","3","2","3295"
"1","10","3","3","3296"
"1","10","3","4","3297"
"1","10","4","1","3298"
"1","10","4","2","3299"
"1","10","4","3","3300"
"1","10","4","4","3301"
"1","11","1","1","2459"
"1","11","1","2","2460"
"1","11","1","3","2461"
"1","11","1","4","2462"
"1","11","2","1","2463"
"1","11","2","2","2464"
"1","11","2","3","2465"
"1","11","2","4","2466"
"1","11","3","1","2467"
"1","11","3","2","2468"
"1","11","3","3","2469"
"1","11","3","4","2470"
"1","12","1","1","221"
"1","12","1","2","222"
"1","12","1","3","223"
"1","12","1","4","224"
"1","12","2","1","225"
"1","12","2","2","226"
"1","12","2","3","227"
"1","12","2","4","228"
"1","12","3","1","229"
"1","12","3","2","230"
"1","12","3","3","231"
"1","12","3","4","232"
"1","14","1","1","259"
"1","14","1","2","260"
"1","14","1","3","261"
"1","14","1","4","262"
"1","14","2","1","263"
"1","14","2","2","264"
"1","14","2","3","265"
"1","14","2","4","266"
"1","14","3","1","267"
"1","14","3","2","268"
"1","14","3","3","269"
"1","14","3","4","270"
"1","14","4","1","271"
"1","14","4","2","272"
"1","14","4","3","273"
"1","14","4","4","274"
"1","15","1","1","2483"
"1","15","1","2","2484"
"1","15","1","3","2485"
"1","15","1","4","2486"
"1","15","2","1","2487"
"1","15","2","2","2488"
"1","15","2","3","2489"
"1","15","2","4","2490"
"1","15","3","1","2491"
"1","15","3","2","2492"
"1","15","3","3","2493"
"1","15","3","4","2494"
"1","15","4","1","2495"
"1","15","4","2","2496"
"1","15","4","3","2497"
"1","15","4","4","2498"
"1","15","5","1","2499"
"1","15","5","2","2500"
"1","15","5","3","2501"
"1","15","5","4","2502"
"1","15","6","1","2503"
"1","15","6","2","2504"
"1","15","6","3","2505"
"1","15","6","4","2506"
"1","16","1","1","291"
"1","16","1","2","292"
"1","16","1","3","293"
"1","16","1","4","294"
